timestamp_ist,device.deviceName,domain,intent,ALEXA_RESPONSE,ASR_REPLACEMENT_TEXT,CUSTOMER_TRANSCRIPT,TTS_REPLACEMENT_TEXT
2025-09-09 08:39:45 IST,Ananterra_Plavu101,Knowledge,QAIntent,"Sorry, I don't know that.",,what's on the menu now,
2025-09-09 08:39:43 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 08:39:37 IST,Ananterra_Plavu101,,GetBookingDetailsIntent,I'm not quite sure how to help you with that.,,what's on room menu,
2025-09-09 08:39:34 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-09 07:53:55 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Nani Teri Morni Ko Mor Le Gaye by Freshlee & Vijay Lakshmi from JioSaavn.,,play nani teri morni ko mor le gaye,
2025-09-09 07:53:52 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:53:44 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Main To So Rahi Thi by Zappy Toons from JioSaavn.,,play,
2025-09-09 07:53:44 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:53:38 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Main To So Rahi Thi by Zappy Toons from JioSaavn.,,play main to so rahi this main to so rahi this,
2025-09-09 07:53:37 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:53:13 IST,Ananterra_vilvam202,Music,PlayMusicIntent,I can't find the song dholi taro by d. p. on Spotify.,,play dholi taro by d. p.,
2025-09-09 07:53:13 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:53:03 IST,Ananterra_vilvam202,Music,PlayMusicIntent,I could not find that on Spotify.,,play thodee daaroo meinne jo pee lee,
2025-09-09 07:53:02 IST,Ananterra_vilvam202,,Unknown,,,,
2025-09-09 07:53:02 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:50:01 IST,Ananterra_Arayaal205,Global,VolumeDownIntent,,,volume down,
2025-09-09 07:47:31 IST,Ananterra_Arayaal205,Music,PlayMusicIntent,Wheels on the Bus by Cocomelon from JioSaavn.,,play wheels on the bus by cocomelon,
2025-09-09 07:47:29 IST,Ananterra_Arayaal205,,Unknown,,hey alexa,,
2025-09-09 07:29:40 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Happy Birthday Song by Cocomelon from JioSaavn.,,play happy birthday happy birthday,
2025-09-09 07:29:39 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:29:25 IST,Ananterra_vilvam202,,Unknown,,,,
2025-09-09 07:29:08 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Happy Birthday by Vikram Pannu & Shanky Goswami from JioSaavn.,,alexa play happy birthday,
2025-09-09 07:25:31 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-09 07:23:11 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Happy Birthday by Vikram Pannu & Shanky Goswami from JioSaavn.,,play happy birthday,
2025-09-09 07:23:10 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:23:02 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Happy by All Ok from JioSaavn.,,play happy,
2025-09-09 07:23:02 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:22:34 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Happy Birthday to You by Chorus Friends from JioSaavn.,,play happy birthday to you,
2025-09-09 07:22:31 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:22:25 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-09 07:22:18 IST,Ananterra_vilvam202,,QAIntent,I'm not quite sure how to help you with that.,,play bheegi bheegi from happy birthday to you,
2025-09-09 07:22:18 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:22:18 IST,Ananterra_vilvam202,,QAIntent,I'm not quite sure how to help you with that.,,play bheegi bheegi from happy birthday to you,
2025-09-09 07:22:08 IST,Ananterra_vilvam202,Global,PlayIntent,,,alexa play play,
2025-09-09 07:21:47 IST,Ananterra_vilvam202,Global,VolumeDownIntent,,,decrease your volume to,
2025-09-09 07:21:47 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-09 07:21:41 IST,Ananterra_vilvam202,Global,VolumeDownIntent,,,alexa decrease the volume,
2025-09-09 07:21:04 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Happy Birthday by Vikram Pannu & Shanky Goswami from JioSaavn.,,play happy birthday,
2025-09-09 07:21:04 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 22:50:22 IST,,HomeAutomation,TurnOffApplianceIntent,"Sorry, I didn't find a group or device named light",,alexa switch off the light,
2025-09-08 21:59:00 IST,Ananterra_Plavu101,Global,NextIntent,,,next,
2025-09-08 21:58:59 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 21:58:51 IST,Ananterra_Plavu101,Music,MusicControlIntent,Resuming Saavn,,resume the song where you stopped,
2025-09-08 21:58:49 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 21:53:29 IST,Ananterra_Plavu101,Music,MusicControlIntent,Resuming Saavn,,resume your song where you stopped,
2025-09-08 21:53:26 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 21:38:08 IST,Ananterra_Plavu101,,Wildcard,I'm not quite sure how to help you with that.,,alexa bg,
2025-09-08 20:58:05 IST,Ananterra_Plavu101,Global,VolumeDownIntent,,,reduce the volume,
2025-09-08 20:58:00 IST,Ananterra_Plavu101,Global,VolumeDownIntent,,,reduce the volume,
2025-09-08 20:57:58 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 20:57:51 IST,Ananterra_Plavu101,Global,VolumeDownIntent,,,reduce the volume,
2025-09-08 20:57:46 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 20:57:41 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 20:57:30 IST,Ananterra_Plavu101,Music,MusicControlIntent,I'm having trouble getting that right now. Please try again.,,change the song,
2025-09-08 20:57:28 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 20:57:19 IST,Ananterra_Plavu101,,Wildcard,I'm not quite sure how to help you with that.,,alexa bg,
2025-09-08 20:47:45 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Wow Winters - 90s Swarangal - Malayalam from JioSaavn.,,play nineties malayalam songs,
2025-09-08 20:47:43 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 20:47:31 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing malayalam music from JioSaavn.,,play old malayalam song,
2025-09-08 20:47:28 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 20:44:56 IST,Ananterra_Plavu101,Music,MusicControlIntent,,,alexa please stop the music,
2025-09-08 20:41:11 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing malayalam music from JioSaavn.,,play malayalam song,
2025-09-08 20:41:09 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 20:22:26 IST,H403,,Unknown,,,,
2025-09-08 20:05:07 IST,,Echo.SDK,CATCH_ALL,"You're welcome! If you need any assistance later, feel free to ask.",,no thank you,
2025-09-08 20:04:59 IST,,Echo.SDK,CATCH_ALL,"Sorry, I didn’t quite get that. Could you please repeat?",,can you on the tv,
2025-09-08 20:04:50 IST,,Echo.SDK,CATCH_ALL,"Sorry, I didn’t quite get that. Could you please repeat?",,can you on the tv,
2025-09-08 20:04:42 IST,,Echo.SDK,CATCH_ALL,"Sorry, I didn’t quite get that. Could you please repeat?",,computer,
2025-09-08 20:04:34 IST,,Echo.SDK,Unknown,,,,"Sorry, I didn’t quite get that. Could you please repeat?"
2025-09-08 20:04:33 IST,,,Unknown,,,,
2025-09-08 20:04:23 IST,,Echo.SDK,CATCH_ALL,"Sorry, I didn’t quite get that. Could you please repeat?",,tell me the recipe tell me mister bean,
2025-09-08 20:04:10 IST,,Echo.SDK,CATCH_ALL,"Sorry, I didn’t quite get that. Could you please repeat?",,play,
2025-09-08 20:04:01 IST,,Echo.SDK,LaunchNativeAppIntent,"Welcome to RoomMitra, I am here to help you with anything you need.",,alexa room service,
2025-09-08 19:37:45 IST,,Global,WhatTimeIntent,The time is 7:37 PM.,,what's the time now,
2025-09-08 19:37:45 IST,,,Unknown,,alexa,,
2025-09-08 19:36:47 IST,Ananterra_vilvam202,Global,SetVolumeIntent,,,decrease the volume in five,
2025-09-08 19:36:47 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 19:36:47 IST,Ananterra_vilvam202,Global,SetVolumeIntent,,,decrease the volume in five,
2025-09-08 19:36:18 IST,Ananterra_vilvam202,Music,PlayMusicIntent,The Alphabet Song by Cedarmont Kids from JioSaavn.,,play a. b. c. d. e. f. g.,
2025-09-08 19:36:18 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 19:32:23 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Shaky by Sanju Rathod & G-SPXRK from JioSaavn.,,alexa play shaky shaky,
2025-09-08 19:32:16 IST,Ananterra_vilvam202,Global,RepeatIntent,"Sorry, there's nothing to repeat.",,alexa play again,
2025-09-08 19:32:14 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-08 19:32:10 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-08 19:32:07 IST,Ananterra_vilvam202,Global,RepeatIntent,I cannot repeat this stream.,,alexa play again,
2025-09-08 19:32:06 IST,Ananterra_vilvam202,,Unknown,,alexa stop,,
2025-09-08 19:32:01 IST,Ananterra_Plavu101,Music,MusicControlIntent,,,stop the music,
2025-09-08 19:31:40 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 19:31:29 IST,Ananterra_Plavu101,Global,MoreIntent,You need to be an Amazon Prime member to be able to play Borrowed Beats from Amazon Music. Would you like to learn more?,,play molly abroad beats,
2025-09-08 19:31:26 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 19:30:57 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing Morning music from JioSaavn.,,play morning music,
2025-09-08 19:30:55 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 19:30:40 IST,Ananterra_vilvam202,,Unknown,,,,
2025-09-08 19:29:41 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Shaky by Sanju Rathod & G-SPXRK from JioSaavn.,,play shaky shaky,
2025-09-08 19:29:40 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 19:29:25 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Ek number by Himesh Reshammiya & Neeti Mohan from JioSaavn.,,alexa play ek number ek,
2025-09-08 19:29:18 IST,Ananterra_vilvam202,,Unknown,,,,
2025-09-08 19:29:17 IST,Ananterra_vilvam202,,Unknown,,,,
2025-09-08 19:29:17 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 19:28:30 IST,Ananterra_vilvam202,Music,PlayMusicIntent,I could not find that on Spotify.,,play ek number koee ek number hei taar se bhee hei,
2025-09-08 19:28:30 IST,Ananterra_vilvam202,,Unknown,,,alexa alexa,
2025-09-08 19:27:59 IST,Ananterra_vilvam202,Music,PlayMusicIntent,"Shake It by Kay flock, Cardi B & Dougie B from JioSaavn.",,alexa play shake it,
2025-09-08 19:27:51 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-08 19:27:47 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Jana Gana Mana by Lalitya Munshaw from JioSaavn.,,alexa play jana gana mana,
2025-09-08 19:27:15 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-08 19:26:59 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Jana Gana Mana by Lalitya Munshaw from JioSaavn.,,alexa play jana gana mana adhinayak jaya hai bhaarat bhaagya vidhaataa,
2025-09-08 19:26:48 IST,Ananterra_vilvam202,Music,PlayMusicIntent,,,play,
2025-09-08 19:26:48 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 19:24:24 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Aao Bachchon by Lata Mangeshkar & Adinath Mangeshkar from JioSaavn.,,play aao bachcho,
2025-09-08 19:24:23 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 18:50:33 IST,Ananterra_Plavu101,HomeAutomation,TurnOnApplianceIntent,"Sorry, I didn't find a group or device named tv",,turn on the tv,
2025-09-08 18:50:32 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 18:50:32 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 18:50:32 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 18:47:02 IST,Ananterra_Plavu101,Music,MusicControlIntent,,,alexa stop the music,
2025-09-08 18:46:50 IST,Ananterra_Plavu101,Global,VolumeDownIntent,,,reduce the volume,
2025-09-08 18:46:49 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 18:46:44 IST,Ananterra_Plavu101,Global,VolumeDownIntent,,,reduce the volume,
2025-09-08 18:46:42 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 18:46:28 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing malayalam music from JioSaavn.,,please play malayalam song,
2025-09-08 18:46:26 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:52:16 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-08 16:51:43 IST,Ananterra_vilvam202,Music,PlayMusicIntent,"Aata Majhi Satakli by Yo Yo Honey Singh, Mamta Sharma & Nitu Choudhary from JioSaavn.",,play aata majhi satakli,
2025-09-08 16:51:40 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 16:49:47 IST,Ananterra_Plavu101,Echo.SDK,AMAZON.StopIntent,roger buh-bye,,stop alexa,
2025-09-08 16:49:25 IST,Ananterra_Plavu101,Echo.SDK,SingleAnimalIntent,Now ask me for another animal!,,crow,
2025-09-08 16:49:01 IST,Ananterra_Plavu101,Echo.SDK,AMAZON.YesIntent,Which other animal would you like to listen to now?,,yes,
2025-09-08 16:48:57 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 16:48:34 IST,Ananterra_Plavu101,Echo.SDK,AnimalNamesIntent,Now ask me for your next animal!,,what sound does a lion makes,
2025-09-08 16:48:32 IST,Ananterra_Plavu101,GeneralMedia,EnableAppIntent,,,what sound does a lion makes,
2025-09-08 16:48:31 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:48:22 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 16:48:19 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 16:48:17 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:47:10 IST,Ananterra_Plavu101,Music,MusicControlIntent,,,alexa stop the music,
2025-09-08 16:46:50 IST,Ananterra_Plavu101,Music,PlayMusicIntent,Playing malayalam music from JioSaavn.,,play malayalam music,
2025-09-08 16:46:48 IST,Ananterra_Plavu101,,Unknown,,,alexa,
2025-09-08 16:46:46 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:46:36 IST,Ananterra_Plavu101,Global,WhatTimeIntent,It's 4:46 PM.,,what's the time,
2025-09-08 16:46:34 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 16:46:30 IST,Ananterra_Plavu101,,Unknown,,,alexa,
2025-09-08 16:46:28 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:43:29 IST,Ananterra_vilvam202,Global,StopIntent,,,alexa stop,
2025-09-08 16:43:03 IST,Ananterra_vilvam202,,Unknown,,,,
2025-09-08 16:42:59 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 16:42:05 IST,Ananterra_Plavu101,Knowledge,QAIntent,"Sorry, I didn't catch that. What would you like me to define? | As a noun, 'flower' is usually defined as: the blossom of a plant. As a verb, 'flower' is usually defined as: to produce flowers; blossom; come to full bloom. For more, ask me to give you more definitions for 'flower'.",,what is the meaning | flower,
2025-09-08 16:42:01 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:41:56 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Apache by The Shadows from JioSaavn.,,alexa play apache apache,
2025-09-08 16:41:56 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:41:56 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Apache by The Shadows from JioSaavn.,,alexa play apache apache,
2025-09-08 16:41:47 IST,Ananterra_Plavu101,HomeAutomation,TurnOnApplianceIntent,"Sorry, I didn't find a group or device named light",,switch on the light,
2025-09-08 16:41:45 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:40:10 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Shaky by Sanju Rathod & G-SPXRK from JioSaavn.,,play shaky shaky song,
2025-09-08 16:40:10 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 16:40:01 IST,Ananterra_vilvam202,Music,PlayMusicIntent,I could not find that on Spotify.,,play ek number ek number hei kisee kee hei sundar happen,
2025-09-08 16:40:01 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 16:39:38 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Desi Boyz by Its Vikka & Amit Baghel from JioSaavn.,,play desi boyz,
2025-09-08 16:39:38 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 16:39:38 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Desi Boyz by Its Vikka & Amit Baghel from JioSaavn.,,play desi boyz,
2025-09-08 16:34:07 IST,Ananterra_Plavu101,,Wildcard,I'm not quite sure how to help you with that.,,alexa bg,
2025-09-08 16:33:54 IST,Ananterra_Plavu101,Knowledge,QAIntent,"From theadvocate.com: | Salad, pasta and cheesecake were on the menu this week.",,what's on the menu,
2025-09-08 16:33:53 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 16:33:50 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 16:33:44 IST,Ananterra_Plavu101,,Unknown,,,,
2025-09-08 16:33:39 IST,Ananterra_Plavu101,,Unknown,,alexa,,
2025-09-08 15:22:30 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Musical Chair by THCsienola from JioSaavn.,,play musical chair,
2025-09-08 15:22:28 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 15:18:38 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Wheels on the Bus (Go Round & Round)) by Blippi from JioSaavn.,,play wheels on the bus go round and round,
2025-09-08 15:18:37 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 15:16:37 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Baby Shark by Mini  Stars & Pinkfong from JioSaavn.,,play baby shark do do do do,
2025-09-08 15:16:37 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 15:11:25 IST,Ananterra_vilvam202,Music,PlayMusicIntent,,,play,
2025-09-08 15:11:25 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 15:09:24 IST,Ananterra_vilvam202,Music,PlayMusicIntent,,,play,
2025-09-08 15:09:24 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 15:08:46 IST,Ananterra_vilvam202,Music,PlayMusicIntent,Taaza Tunes from JioSaavn.,,play bollywood songs,
2025-09-08 15:08:46 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 15:08:39 IST,Ananterra_vilvam202,Echo.SDK,PersonalityQAIntent,,,sing a song,
2025-09-08 15:08:39 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 15:08:24 IST,Ananterra_vilvam202,Knowledge,QAIntent,"From theadvocate.com: | Salad, pasta and cheesecake were on the menu this week.",,what's on the menu,
2025-09-08 15:08:24 IST,Ananterra_vilvam202,,Unknown,,alexa,,
2025-09-08 14:54:02 IST,Ananterra_Arayaal205,Knowledge,QAIntent,,what is the esports fact of the day,,"From esportsinsider.com: | According to Esports Charts , the League of Legends Worlds in 2024 reached a peak viewership of 6.94 million, up from 2023’s Worlds, which reached around 6.4 million ."
2025-09-08 14:37:56 IST,Ananterra_Arayaal205,Weather,GetWeatherForecastIntent,,weather,,"In VYTHIRI Kerala, it's 28 degrees Celsius with cloudy skies. Today, you can expect showers, with a high of 28 degrees and a low of 18 degrees."
